NOTE,MIDI
A0,21
As0/Bb0,22
B0,23
C1,24
Cs1/Db1,25
D1,26
Ds1/Eb1,27
E1,28
F1,29
Fs1/Gb1,30
G1,31
Gs1/Ab1,32
A1,33
As1/Bb1,34
B1,35
C2,36
Cs1/Db2,37
D2,38
Ds1/Eb2,39
E2,40
F2,41
Fs1/Gb2,42
G2,43
Gs1/Ab2,44
A2,45
As1/Bb2,46
B2,47
C3,48
Cs1/Db3,49
D3,50
Ds1/Eb3,51
E3,52
F3,53
Fs1/Gb3,54
G3,55
Gs1/Ab3,56
A3,57
As1/Bb3,58
B3,59
C4,60
Cs1/Db4,61
D4,62
Ds1/Eb4,63
E4,64
F4,65
Fs1/Gb4,66
G4,67
Gs1/Ab4,68
A4,69
As1/Bb4,70
B4,71
C5,72
Cs1/Db5,73
D5,74
Ds1/Eb5,75
E5,76
F5,77
Fs1/Gb5,78
G5,79
Gs1/Ab5,80
A5,81
As1/Bb5,82
B5,83
C6,84
Cs1/Db6,85
D6,86
Ds1/Eb6,87
E6,88
F6,89
Fs1/Gb6,90
G6,91
Gs1/Ab6,92
A6,93
As1/Bb6,94
B6,95
C7,96
Cs1/Db7,97
D7,98
Ds1/Eb7,99
E7,100
F7,101
Fs1/Gb7,102
G7,103
Gs1/Ab7,104
A7,105
As1/Bb7,106
B7,107
C8,108
