NOTE,MIDI,FREQUENCY,AMPLITUDE
A0,21,27.5,0
As0/Bb0,22,29.14,0
B0,23,30.87,0
C1,24,32.7,0
Cs1/Db1,25,34.65,0
D1,26,36.71,0
Ds1/Eb1,27,38.89,0
E1,28,41.2,0
F1,29,43.65,0
Fs1/Gb1,30,46.25,0
G1,31,49,0
Gs1/Ab1,32,51.91,0
A1,33,55,0
As1/Bb1,34,58.27,0
B1,35,61.74,0
C2,36,65.41,0
Cs1/Db2,37,69.3,0
D2,38,73.42,0
Ds1/Eb2,39,77.78,0
E2,40,82.41,0
F2,41,87.31,0
Fs1/Gb2,42,92.5,0
G2,43,98,0
Gs1/Ab2,44,103.83,0
A2,45,110,0
As1/Bb2,46,116.54,0
B2,47,123.47,0
C3,48,130.81,0
Cs1/Db3,49,138.59,0
D3,50,146.83,0
Ds1/Eb3,51,155.56,0
E3,52,164.81,0
F3,53,174.61,0
Fs1/Gb3,54,185,0
G3,55,196,0
Gs1/Ab3,56,207.65,0
A3,57,220,0
As1/Bb3,58,233.08,0
B3,59,246.94,0
C4,60,261.63,0
Cs1/Db4,61,277.18,0
D4,62,293.66,0
Ds1/Eb4,63,311.13,0
E4,64,329.63,0
F4,65,349.23,0
Fs1/Gb4,66,369.99,0
G4,67,392,0
Gs1/Ab4,68,415.3,0
A4,69,440,0
As1/Bb4,70,466.16,0
B4,71,493.88,0
C5,72,523.25,0
Cs1/Db5,73,554.37,0
D5,74,587.33,0
Ds1/Eb5,75,622.25,0
E5,76,659.26,0
F5,77,698.46,0
Fs1/Gb5,78,739.99,0
G5,79,783.99,0
Gs1/Ab5,80,830.61,0
A5,81,880,0
As1/Bb5,82,932.33,0
B5,83,987.77,0
C6,84,1046.5,0
Cs1/Db6,85,1108.73,0
D6,86,1174.66,0
Ds1/Eb6,87,1244.51,0
E6,88,1318.51,0
F6,89,1396.91,0
Fs1/Gb6,90,1479.98,0
G6,91,1567.98,0
Gs1/Ab6,92,1661.22,0
A6,93,1760,0
As1/Bb6,94,1864.66,0
B6,95,1975.53,0
C7,96,2093,0
Cs1/Db7,97,2217.46,0
D7,98,2349.32,0
Ds1/Eb7,99,2489.02,0
E7,100,2637.02,0
F7,101,2793.83,0
Fs1/Gb7,102,2959.96,0
G7,103,3135.96,0
Gs1/Ab7,104,3322.44,0
A7,105,3520,0
As1/Bb7,106,3729.31,0
B7,107,3951.07,0
C8,108,4186.01,0
